Year,"Mortality rate, under-5 (per 1,000 live births)"
2000-01-01,18.4
2001-01-01,18.05
2002-01-01,17.710000610351564
2003-01-01,17.38000030517578
2004-01-01,17.03999938964844
2005-01-01,16.689999389648438
2006-01-01,16.330000305175783
2007-01-01,15.960000610351564
2008-01-01,15.56999969482422
2009-01-01,15.16999969482422
2010-01-01,14.76999969482422
2011-01-01,14.36999969482422
2012-01-01,13.980000305175782
2013-01-01,13.58999938964844
2014-01-01,13.230000305175782
2015-01-01,12.86999969482422
2016-01-01,12.490000152587893
2017-01-01,12.10999984741211
2018-01-01,11.730000305175782
2019-01-01,11.35
