Year,"Mortality rate, under-5 (per 1,000 live births)"
2000-01-01,18.28999938964844
2001-01-01,17.730000305175782
2002-01-01,17.150000000000002
2003-01-01,16.589999389648437
2004-01-01,16.030000305175783
2005-01-01,15.5
2006-01-01,15.010000610351565
2007-01-01,14.560000610351564
2008-01-01,14.16999969482422
2009-01-01,13.830000305175782
2010-01-01,13.55
2011-01-01,13.310000610351564
2012-01-01,13.110000610351562
2013-01-01,12.939999389648438
2014-01-01,12.790000152587892
2015-01-01,12.640000152587891
2016-01-01,12.46999969482422
2017-01-01,12.25
2018-01-01,11.990000152587893
2019-01-01,11.690000152587892
